idx;id;sci_name;com_name;class;order
5623;10275;Plocealauda erythrocephala;Indochinese Bush Lark;Aves;Passeriformes
5624;10276;Plocealauda erythroptera;Indian Bush Lark;Aves;Passeriformes
5625;10277;Corypha fasciolata;Eastern Clapper Lark;Aves;Passeriformes
5626;10279;Mirafra javanica;Singing Bush Lark;Aves;Passeriformes
5627;10280;Plocealauda microptera;Burmese Bush Lark;Aves;Passeriformes
5628;10281;Mirafra passerina;Monotonous Lark;Aves;Passeriformes
5629;10283;Amirafra rufocinnamomea;Flappet Lark;Aves;Passeriformes
5630;10287;Mirounga angustirostris;Northern Elephant Seal;Mammalia;Carnivora
5631;10288;Mirounga leonina;Southern Elephant Seal;Mammalia;Carnivora
5632;10293;Mitrephanes olivaceus;Olive Tufted Flycatcher;Aves;Passeriformes
5633;10294;Mitrephanes phaeocercus;Northern Tufted Flycatcher;Aves;Passeriformes
5634;10295;Mitrospingus cassinii;Dusky-faced Tanager;Aves;Passeriformes
5635;10296;Mitrospingus oleagineus;Olive-backed Tanager;Aves;Passeriformes
5636;10298;Mitu salvini;Salvin's Curassow;Aves;Galliformes
5637;10299;Mitu tomentosum;Crestless Curassow;Aves;Galliformes
5638;10300;Mitu tuberosum;Razor-billed Curassow;Aves;Galliformes
5639;10303;Mixophyes fasciolatus;Great Barred Frog;Amphibia;Anura
5640;10307;Mniotilta varia;Black-and-white Warbler;Aves;Passeriformes
5641;10318;Modulatrix stictigula;Spot-throat;Aves;Passeriformes
5642;10319;Mogannia formosana;Mogannia formosana;Insecta;Hemiptera
5643;10320;Mogannia hebes;Grass Cicada;Insecta;Hemiptera
5644;10324;Mohoua albicilla;Whitehead;Aves;Passeriformes
5645;10325;Mohoua ochrocephala;Yellowhead;Aves;Passeriformes
5646;10332;Molothrus aeneus;Bronzed Cowbird;Aves;Passeriformes
5647;10334;Molothrus ater;Brown-headed Cowbird;Aves;Passeriformes
5648;10335;Molothrus bonariensis;Shiny Cowbird;Aves;Passeriformes
5649;10336;Molothrus oryzivorus;Giant Cowbird;Aves;Passeriformes
5650;10337;Molothrus rufoaxillaris;Screaming Cowbird;Aves;Passeriformes
5651;10338;Momotus aequatorialis;Andean Motmot;Aves;Coraciiformes
5652;10339;Momotus bahamensis;Trinidad Motmot;Aves;Coraciiformes
5653;10340;Momotus coeruliceps;Blue-capped Motmot;Aves;Coraciiformes
5654;10341;Momotus lessonii;Lesson's Motmot;Aves;Coraciiformes
5655;10342;Momotus mexicanus;Russet-crowned Motmot;Aves;Coraciiformes
5656;10343;Momotus momota;Amazonian Motmot;Aves;Coraciiformes
