1668962	Dryophytes gratiosus	Barking Tree Frog
1668965	Dryophytes japonicus	Japanese Tree Frog
176581	Okanagana occidentalis	Rocky Mountain Cicada
179937	Poliocitellus franklinii	Franklin's Ground Squirrel
179988	Ictidomys tridecemlineatus	Thirteen-lined Ground Squirrel
179994	Urocitellus armatus	Uinta Ground Squirrel
179995	Urocitellus beldingi	Belding's Ground Squirrel
179998	Urocitellus columbianus	Columbian Ground Squirrel
180001	Urocitellus parryii	Arctic Ground Squirrel
180002	Urocitellus richardsonii	Richardson's Ground Squirrel
180007	Otospermophilus beecheyi	California Ground Squirrel
180008	Otospermophilus variegatus	Rock Squirrel
197810	Neotamias merriami	Merriam's Chipmunk
203449	Scudderia septentrionalis	Northern Bush Katydid
204113	Cervus elaphus	Red Deer
204114	Cervus canadensis	Wapiti
205176	Cyclochila australasiae	Green Grocer
205335	Paracyrtophyllus robustus	Central Texas Leaf-Katydid
205489	Kikihia muta	Variable Cicada
207999	Psaltoda claripennis	Clanger
208003	Psaltoda plaga	Black Prince
208008	Psaltoda harrisii	Yellowbelly
208010	Psaltoda moerens	Redeye Cicada
208011	Psaltoda pictibasis	Black Friday
208012	Psaltoda mossi	Little Baron
208179	Thopha saccata	Eastern Double Drummer
208180	Thopha sessiliba	Northern Double Drummer
208182	Arunta perulata	White Drummer
208183	Henicopsaltria eydouxii	Razor Grinder
208187	Macrotristria angularis	Cherrynose
208193	Tamasa tristigma	Brown Bunyip
209233	Equus caballus	Domestic Horse
210400	Myotis nattereri	Natterer's Bat
210942	Caedicia simplex	Australian Common Garden Katydid
21211	Allobates femoralis	Spotted-thighed Poison Frog
21231	Teratohyla midas	Santa Cecilia Glass Frog
21277	Cochranella granulosa	Granular Glass Frog
21324	Hyalinobatrachium fleischmanni	Fleischmann's Glass Frog
213322	Amblycorypha oblongifolia	Oblong-winged Katydid
213545	Anaxipha exigua	Say's Trig
216777	Chloealtis abdominalis	Rocky Mountain Sprinkled Locust
21861	Schismaderma carens	African Red Toad
22028	Limnodynastes salmini	Salmon-striped Frog
22033	Limnodynastes fletcheri	Barking Frog
22035	Limnodynastes dorsalis	Western Banjo Frog
22036	Limnodynastes tasmaniensis	Spotted Marsh Frog
22038	Limnodynastes dumerilii	Eastern Banjo Frog
22039	Limnodynastes peronii	Striped Marsh Frog
22040	Limnodynastes convexiusculus	Marbled Frog
22042	Heleioporus australiacus	Giant Burrowing Frog
22046	Heleioporus eyrei	Moaning Frog
22066	Mixophyes fasciolatus	Great Barred Frog
22084	Adelotus brevis	Tusked Frog
22333	Eleutherodactylus johnstonei	Lesser Antillean whistling frog
223651	Ligurotettix coquilletti	Desert Clicker Grasshopper
22392	Eleutherodactylus marnockii	Cliff Chirping Frog
22454	Eleutherodactylus coqui	Common Coqui
22540	Eleutherodactylus nitidus	Peters' Shiny Peeping Frog
225598	Neoconocephalus ensiger	Sword-bearing Conehead
225602	Neoconocephalus retusus	Round-tipped Conehead
225604	Neoconocephalus triops	Broad-tipped Conehead
225607	Neocurtilla hexadactyla	Northern Mole Cricket
225754	Neotamias sonomae	Sonoma Chipmunk
225793	Neoxabea bipunctata	Two-spotted Tree Cricket
226219	Oecanthus argentinus	Prairie Tree Cricket
226220	Oecanthus californicus	Western Tree Cricket
226221	Oecanthus niveus	Narrow-winged Tree Cricket
226222	Oecanthus quadripunctatus	Four-spotted Tree Cricket
22631	Eleutherodactylus planirostris	Greenhouse Frog
226531	Orchelimum silvaticum	Long-spurred Meadow Katydid
22771	Eleutherodactylus antillensis	Antillean Coqui
22951	Leptodactylus melanonotus	Sabinal Frog
22955	Leptodactylus troglodytes	Sibilator Frog
22956	Leptodactylus mystacinus	Mustached Frog
22957	Leptodactylus pentadactylus	Smoky Jungle Frog
22960	Leptodactylus rhodomystax	Loreto White-lipped Frog
22973	Leptodactylus fuscus	Whistling Grass Frog
22974	Leptodactylus latinasus	Oven Frog
22976	Leptodactylus fragilis	Mexican White-lipped Frog
22979	Leptodactylus albilabris	Caribbean White-lipped Frog
22981	Leptodactylus gracilis	Dumeril's Striped Frog
22983	Leptodactylus labyrinthicus	Pepper Frog
22984	Leptodactylus mystaceus	Basin White-lipped Frog
230720	Scudderia pistillata	Broad-winged Bush Katydid
23112	Eupsophus roseus	Rosy Ground Frog
23124	Physalaemus gracilis	Graceful Dwarf Frog
23144	Physalaemus cuvieri	Cuvier’s Foam Frog
23174	Pseudopaludicola falcipes	Hensel's Swamp Frog
23201	Batrachyla antartandica	Marbled Wood Frog
23202	Batrachyla leptopus	Gray Wood Frog
23203	Batrachyla taeniata	Banded Wood Frog
23214	Pleurodema thaul	Chilean Four-eyed Frog
23222	Hylorina sylvatica	Emerald Forest Frog
23323	Hyperolius pusillus	Water Lily Reed Frog
23331	Hyperolius marmoratus	Painted Reed Frog
23338	Hyperolius semidiscus	Yellow-striped Reed Frog
23342	Hyperolius tuberilinguis	Tinker Reed Frog
233598	Vulpes lagopus	Arctic Fox
23366	Hyperolius parallelus	Angolan Reed Frog
23370	Hyperolius horstockii	Arumlily Reed Frog
23407	Leptopelis mossambicus	Mozambique Forest Tree Frog
23431	Leptopelis natalensis	Natal Forest Tree Frog
23450	Afrixalus delicatus	Delicate Spiny Reed Frog
23455	Afrixalus fornasini	Fornasini's Spiny Reed Frog
23512	Kassina senegalensis	Senegal Running Frog
23647	Litoria nasuta	Striped Rocket Frog
23654	Litoria latopalmata	Broad-palmed Rocket Frog
23702	Agalychnis callidryas	Red-eyed Tree Frog
23735	Phyllomedusa distincta	Sao Paulo Leaf Frog
23798	Hyla savignyi	Lemon-yellow Tree Frog
23922	Hyla intermedia	Italian Tree Frog
23968	Hyla chinensis	Common Chinese Tree Frog
23998	Hyla sarda	Sardinian Tree Frog
24045	Hyla meridionalis	Mediterranean Tree Frog
24182	Osteocephalus oophagus	Egg-eating Spiny-backed Frog
24230	Acris crepitans	Northern Cricket Frog
24233	Acris gryllus	Southern Cricket Frog
